<<these are the available effects and what they do.  X is the effect strength.  Y is the effect argument>>

<<Enemy Effects (Periodic)>>
regeneration | enemy recovers X health per second.  
targetMouse      | tower targets enemies near the mouse.  Range is how far away FROM THE MOUSE to search for targets.
targetOrthogonal | tower attacks all enemies in a straight vertical or horizontal line, using special projectiles, if there is at least one enemy in range in that direction
targetRandom     | tower attacks a target at random
targetSpeed      | tower prioritizes targets with the highest speed

<<property effects (changes how something behaves, but is never triggered)>>
armorPierce           | attacks ignore enemy armor
attackColor           | purely cosmetic.  Y is either a hex color, in the format #RRGGBBAA, or one of the following constants: red, cyan, blue, darkblue, lightblue, purple, yellow, lime, fuchsia, white, silver, grey, black, orange, brown, maroon, green, olive, navy, teal, aqua, magenta.
cannotBeDiscarded     | this card cannot be discarded except for when the player plays it, or specifically chooses to discard it. (ex: discardRandomCard cannot get rid of it, but discardChosenCard can)
dieRoll               | rolls a die with X sides.  The result can be used by other effects, such as ifRollRange
infiniteTowerLifespan | stop a tower's lifespan from decreasing or being displayed
limitedAmmo           | tower can only fire X times before being destroyed
manualFire            | this tower only fires when clicked on by the player 
noUpgradeCost         | this upgrade does not cost an upgrade slot
returnsToTopOfDeck    | this card returns to the top of the deck when played
upgradesForbidden     | tower cannot receive upgrades

<<overcharge effects (tower maximum charge increases by 100% per point of overcharge.  Towers with at least one point of overcharge apply overcharge effects before firing)>>
maxOvercharge    | tower can have up to X points of overcharge (currently we can only render 2 points, but it can continue charging above this)
overchargeDamage | tower deals (1+X) times as much damage when overcharged

<<meta effects (target another effect)>>
effectCharges            | child effect can only occur up to X times
effectCooldown           | child effect triggers under normal conditions, but only if it has been at least X seconds since the last trigger
everyRound               | target instant effect triggers once every round
onCardDrawn              | target instant effect triggers when the card is drawn
onAttack		         | target instant effect triggers when the tower fires or when the enemy deals damage
onSpawned	             | target instant effect triggers when the enemy spawns.  Does not trigger twice if the unit survives and spawns again in the next wave.
percentageChance         | child effect has an X% chance of triggering
scaleEffectByTowerAttack | on towers, multiplies effect strength by attack power of the tower.  Use this to create effects whose strength vary with the strength of the tower, like the poison on "Poison Ammo".
ifRollRange              | child effect triggers if the die rolled anything from X to Y.  Requires dieRoll effect to work

<<death effects (occur when the tower/enemy dies)>>
spawnEnemyOnDeath | spawns X enemies of type Y.  On enemies, it spawns where the enemy died.  On towers, this is unsupported
